id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4455204114166065,Ina6ThtMB,冬天大家都喜欢穿羽绒服，但是谁喜欢洗呢？今天我们店里上新了一款来自喜方良品的羽绒服干洗剂，市面上一般一瓶29-59不等特惠价19一瓶，2瓶29叶秋优选 喜方良品羽绒服干洗剂150ML 2瓶装免水洗泡沫型干洗神器1.使用方法很简单，先摇一摇然后直接喷在污渍表面，等待30秒，用毛巾或者湿巾顺着衣服纹理轻轻擦拭，如果是重度污渍直接用刷子擦拭，最后用毛巾擦掉水分和污渍，晾干即可。2.按压式喷头，圆柱形包装易使用，泡沫丰富不伤手，避免大冬天手冷洗羽绒服了，用这个干洗即可。3.喜方良品是新国货代表，他们是专注在居家日用上，很多商品也在小米有品有售，我们店里也有卖他们的干发帽和防染色片等，反馈都还不错，叶秋优选 喜方良品羽绒服干洗剂150ML 2瓶装免水洗泡沫型干洗神器因为一瓶的价格邮费是比较贵的所以价格是19，2瓶仅需29大家之前没使用过的可以先买一瓶使用看看,"https://wx4.sinaimg.cn/large/67ffe68ely1gaeq83deurj21220u0n9e.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaeq83ql3qj213d0u0n05.jpg,https://wx2.sinaimg.cn/large/67ffe68ely1gaeq83z26aj20u00w3jvo.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaeq845ydjj20ku0oe76j.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaeq84cfhij20mk0rsjtw.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaeq84k7qcj20u011yjw7.jpg,https://wx2.sinaimg.cn/large/67ffe68ely1gaeq84ro54j20u00wiwht.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaeq84xn13j20u00w3dip.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaeq855c1lj20zr0u0n1c.jpg",,,2019-12-30,,15,10,4,,
4455323320747922,Indda38zg,2019年度汉字为 华蓝色的是人，红色是七十，象征华与华人共同辉煌的70周年。 ,https://wx3.sinaimg.cn/large/67ffe68ely1gaf3w5ccauj20gf150agp.jpg,,,2019-12-31,,198,50,48,,
4455319188708234,Ind6uAxpo,下午回私信的时候零碎的发了几个微博，没关注电视直播，观众提供和我聊的都是些碎片。看了补充才知道还有那么多东西，我也重新整理一下。关于8k的视频播放，目前片源很少，属于超前消费。但是超前有未雨绸缪也有非典买醋。需要根据每个人的需求和预算来判断。从效果来说，8k的细腻度让人看不到像素点，可以看出3d的效果。原理类似画画，画的特别细腻，纹理包括阴影，就觉得是真的。8k的清晰度大幅度提高。高付出有高体验。从宣传来说，8K是指水平分辨率为7680像素，形成的总图像尺寸为（7680×4320），也称为4320p，8k uhd。小米电视5只支持解码在线8k24fps部分格式（图片小字），就宣传播放8k内容畅通无阻。具体支持哪些部分格式，又不说清楚，谁看谁迷。视频尺寸长一点，帧数高一点，就不能播放了。这不是折腾人么。而且面板根本不支持。如果真的对8k有兴趣，一定要买有富余的电视。8k视频对硬件的要求很高，小米这种苛刻的8k解码能力没有实际意义。8k片源多难找，多占空间，用一个4k面板电视看，还要考虑降低帧数，根本不现实。有了片源就肯定要好的效果。不需要好的效果下载8k干嘛。所以仅处理器支持解码，就在参数里面写上，支持哪些类型。宣传一定要注意减少误导概率。否则用户自己发现，麻烦的是厂家自己。而4k播放卡顿，要看硬解码和码率。如果这也不行，就是性能不行。这都是问题，都可能误导消费者。消费者要根据需求选产品。宣传不清楚，模棱两可，怎么按需选择？还有一点补充，视频分辨率不一定决定清晰度 。高码率的1080p视频可以比低码率的4k视频还清晰。同分辨率的视频清晰度也不同。需要的性能也不一样。而面板大体是分辨率越高越好，但是也不一定。当主要片源还是低于1080p60fps的时候，memc和刷新率，区域控光等亮度技术和色彩技术会更重要。在这些地方上缺乏技术积累，就只能服务低端片源和低端需求。有这些，低端片源也能提高体验。而最大的问题还不是服务低端，而是同价位为什么在主要的画质和音质都不如。小米硬件利润低，如果没有偷工减料，就是软件优化不到位。需要好好加强。这几天事情比较多，有遗漏的也烦请大家再补充。,https://wx3.sinaimg.cn/large/67ffe68ely1gaf334udhvj21pr0q80wz.jpg,,,2019-12-31,UC浏览器电脑版,137,64,3,,
4455294756949330,Inct5t9PY,蔚来汽车盘前发布截至2019年9月30日的第三季度未经审计财报。蔚来汽车第三季度营收为人民币18.368亿元（约合2.570亿美元），环比增长21.8%，同比增长25.0%净亏损为人民币25.217亿元（约合3.528亿美元），环比下滑23.3%，同比下滑10.3%不按照美国通用会计准则，净亏损为人民币24.512亿元（约合3.429亿美元），环比下滑23.2%，同比增长3.1%。2019年的总交付量预计将超过20300辆。表现好过预期。公布财报后股票大涨。,https://wx3.sinaimg.cn/large/67ffe68ely1gaf0m03wtlj20qo0wndhw.jpg,,,2019-12-30,,30,14,1,,
4455286368524213,IncfyzLxj,杭州中院审理小米米家商标侵权案件中，赔偿金额1200万是参考销量和利润。类别有多功能网关、无线开关、对讲机、智能摄像机云台版、智能摄像机1080P、小白智能摄像机、行车记录仪、烟雾传感器报警器、门窗传感器、天然气报警器等共计十款商品。其中京东销售米家的产品，利润率约30%。由于小米不可能给京东的进价低于成本来赔钱，所以推算小米自己平台销售的利润率不低于30%。这个是销售利润，也就是销售毛利。跟硬件综合利润不是一回事。法院的推算没有问题，除非米家产品的利润是负的，靠广告等其他服务扭亏为盈。具体为什么按销售利润来罚，我就不清楚了。小米的法务不审好商标已经很不应该，要是罚多了肯定会争。所以判罚应该是有确切依据的，也关注后续进展。,"https://wx2.sinaimg.cn/large/67ffe68ely1gaeziqi3qwj20ou1f60zt.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaezir7spqj20os1f6tes.jpg",,,2019-12-30,,452,150,14,,
4455279103701386,Inc3QfwTM,小米商标侵权，判赔1200万元杭州中院微信公号公布，2019年12月30日，杭州市中级人民法院对原告杭州联安安防工程有限公司与被告小米通讯技术有限公司等侵害商标权纠纷一案进行宣判。杭州中院认定：小米通讯公司、小米科技公司构成侵权，判决小米通讯公司承担1200万元损害赔偿责任，并承担联安公司维权合理开支10.38万元，两项共计人民币1210.38万元；小米科技公司对小米通讯公司应对赔偿金额中的680.38万元承担连带责任。本案原告联安公司拥有“米家”注册商标，其起诉指控小米通讯公司、小米科技公司在多功能网关、无线开关等共计十款商品上、销售网页中使用“米家”标识构成侵权，遂提起诉讼，主张总计7800万元的赔偿（计算到2017年12月4日）。内容如下：根据判决书的记载，本案原告联安公司2012年在“网络通讯设备，摄像机，录像机，扬声器音箱，扩音器喇叭，电线，防盗报警器，报警器，声音警报器”等商品上注册了第10054096号“案件审理过程中，为查明被告的销量，杭州中院还发出裁定，要求小米通讯公司、小米科技公司分别提交被控侵权商品的真实销量数据，要求京东方面提交被控侵权商品在京东平台上销售的数据。各方提交了相应数据，小米通讯公司提交的数据表明，在被控侵权期间内各被控侵权商品总销量达5.8亿余元；小米科技公司提交的数据表明其销售的数据达3.2亿余元，京东提交的数据表明其销量达7300余万元。杭州中院经审理认为，本案被控侵权商品与涉案注册商标核定使用的商品构成相同或类似，被控侵权“米家”标识与”注册商标标识构成近似，小米通讯公司的大规模可能让消费者误认为联安公司的商品来源于小米，即产生反向混淆。在判决中，杭州中院还特别梳理了一个时间关系：联安公司注册涉案商标的时间是在2012年，而小米方面宣布推出“米家”品牌的时间是在2016年。因此，本案并不是抢注他人商标再提起诉讼的情形，联安公司注册本案商标并无恶意。法院指出：在商标权人取得商标注册的行为本身不具有任何恶意，符合商标注册制度本意的前提下，当在后的经济实力较强者未经许可径行加以宣传使用，使得相关公众在该注册商标与该使用人之间形成联系时，如果以该使用者的行为不会令相关公众误认为该使用人的商品来源于注册商标专用权人为由而不加以禁止，不仅直接有损于该商标在先注册人的权利，不利于为在先注册者营造公平的竞争环境，也不利于倡导先获权再使用的做法，反而会为无视他人在先权利、凭借实力掠夺已是他人权利客体的商标、破坏注册商标与其注册人之间唯一的来源识别联系的行为正名，形成不好的价值导向，最终将有悖于商标注册制度的本义。所以，应当认定小米通讯公司侵权成立。小米科技公司和小米通讯公司作为共同销售方，对部分赔偿金额承担连带责任。关于具体的赔偿金额，杭州中院认为需要考虑被控侵权商品的利润率以及侵权行为对利润的贡献率。为尽量精确计算，杭州中院对京东方面提交的进货发票中载明的其从小米通讯公司进货时的进货价，与京东网页上销售价侵权商品的销售价作对比，可以计算出京东销售涉案侵权商品的利润率约在30%。小米方面除了京东的销售渠道外，销售侵权商品的“小米商城”、天猫“小米官方旗舰店”、“小米之家”均是直营，即由小米直接向终端消费者销售，其利润率显然不应低于作为中间商的京东的利润率，据此可以确定小米的利润率不低于30%。在综合考虑全案因素的基础上，排除“小米”的商标、侵权商品实物及其中所含技术等因素对利润的贡献后，再行确定涉案侵权行为对小米方面利润的贡献率。杭州中院确定小米通讯公司应承担1200万元的赔偿金额，小米科技公司基于其销量占总销量的比例，承担相应部分的连带责任，即对其中6803767元承担连带责任。小米通讯公司和小米科技公司还需要对联安公司为本案维权支出的合理开支103767元承担连带责任。,"https://wx4.sinaimg.cn/large/67ffe68ely1gaeyubmjerj20qe1f678z.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaeyu21ju7j2055011weg.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaeyubuxwaj20qo0dvjsh.jpg",,,2019-12-30,,525,143,10,,
4455268785630699,InbNcnCNJ,安兔兔发布年度soc评奖。基本上谁都不得罪。 ,"https://wx4.sinaimg.cn/large/67ffe68ely1gaexmx5n57j20qo19c7ar.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaexmxo371j20qo1bkdn1.jpg,https://wx3.sinaimg.cn/large/67ffe68ely1gaexmy23gwj20qo17jgr5.jpg,https://wx2.sinaimg.cn/large/67ffe68ely1gaexmyce1pj20qo1avtfc.jpg,https://wx2.sinaimg.cn/large/67ffe68ely1gaexnb3842j20qo1cb451.jpg,https://wx3.sinaimg.cn/large/67ffe68ely1gaexnbdly9j20qo1ceq9s.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaexnbovioj20qo1917af.jpg",,,2019-12-30,,230,48,0,,
4455264205434399,InbFOmNJB,观众投稿，你们还知道哪些能语音唤醒的手机 ,https://wx3.sinaimg.cn/large/67ffe68ely1gaex4a4fy7j20qo0q5q4e.jpg,,,2019-12-30,,109,34,3,,
4455257331449999,InbuJ65d5,红米k30的6400万像素照片动不动就20m以上，比小米cc9pro的1亿像素还占地方呢。。。当然效果是不如的。还是有点问题，容易糊，噪声问题也没处理好。 ,https://wx4.sinaimg.cn/large/67ffe68ely1gaewbvyzeqj21k30u011d.jpg,,,2019-12-30,UC浏览器电脑版,73,31,3,,
4455254777250438,InbqBuqay,红米k30对比小米cc9pro，一组自动一组夜景。redmi k30的HDR算法进步明显。细节还是糊，不过没之前那么糊了。 ,"https://wx3.sinaimg.cn/large/67ffe68ely1gaew0aq06qj20u013ykjq.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaew0ibm7aj20u0140qvc.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaew096ji4j20u013y4qt.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaew0fkswmj20u0140kjq.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaew0depqaj20u013ynpi.jpg,https://wx4.sinaimg.cn/large/67ffe68ely1gaew0m4eh5j20u01407wp.jpg,https://wx1.sinaimg.cn/large/67ffe68ely1gaew0bl44nj20u013y4qu.jpg,https://wx2.sinaimg.cn/large/67ffe68ely1gaew0lqd0lj20u0140e88.jpg",,,2019-12-30,UC浏览器电脑版,34,24,0,,
