id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4453761491392108,ImyA55Q9m,@苏州科技大学 管管你家的卖淫吸毒发神经的怂批狗屌子@琦琦Jackie 智商这么低下的精神病患者都能考上贵校是什么特殊学校还是精神病院专招嗑药发神经的毒虫出来学人骂街都还要拉黑的怂批还真是继承了你国怂批跪舔屌子的优良传统（改你妈的名不知道老子是尊贵会员么） ,https://wx3.sinaimg.cn/large/6fd81591ly1gaa4inhv8yj20n00abwit.jpg,,,2019-12-26,,2,19,0,,"苏州科技大学,琦琦Jackie"
4461405677541832,IpLrpvDYs,说起来，你美捧的其他有色人种都是大众审美算好看的，唯独亚裔一个赛一个的丑，当年国际章起来的时候我还天真的以为你美终于开窍不捧丑逼了，结果丑逼永远是政治正确，反而国际变stereotype了🙄🙄🙄🙄🙄 ,,,,2020-01-16,,2,1,0,,
4461362576909165,IpKjTsZo9,若干年前有部电影叫刮痧，立意差不多，整体质量也就那样，三金勉强撸了个金鸡的音乐奖，不要告诉她的水平还不如这个呢，丑逼腌妓浮夸到了极点不说，一口蹩脚中文就够让人出戏了，而尿布精就是能戴着奇厚无比滤镜捧臭脚闭眼吹不说还要按头所有人都必须吹不吹就给你一堆政治不正确的大帽子，真·孝感动天 ,,,,2020-01-16,,0,2,0,,
4461313071730886,IpJ237ghw,不写Chinese New Year的商家是不配赚我钱的望有点逼数 ,,,,2020-01-16,,1,0,0,,
4460996435575611,IpANlnotd,我记得以前读语言学校的时候，巴畜都说自己是巴岛人压根不认中国人，同班一男生直接说我就认为巴岛是中国的一部分然后气氛一度尴尬，然后另一个大陆人就指责那个男生不尊重别人的立场巴拉巴拉，然后俩人就因为该尊重谁的立场辩论起来，当时我就一感觉，真的好贱and巴畜有啥好值得被尊重的 也就十多年前的事吧，到今天大陆人还自欺欺人十年前不是这样，贱这个字真是长骨子里取不出来的那种,,,,2020-01-15,,4,0,1,,
4460854323762121,Ipx68fMHn,一转棒畜粉微博就删除，你棒畜粉也知道我一针见血直戳你痛处叻，上个来我这装爱国逼的畜粉知道自己婊演错地方了么 ,,,,2020-01-15,,0,0,0,,
4460582570661708,Ipq1P2M8I,嘿嘿嘿，去年品牌闹剧你国棒畜粉就明说了把大陆明星赶走代言费就是他棒腥的了，傻逼网友还跟着棒畜粉和灿巴水军一起舞的天翻地覆结果去年末就被灿巴棒集体偷了塔，你国棒畜粉婊演爱国的戏码可比傻逼网友舞的像那么回事多了 ,,,,2020-01-14,,2,0,0,,
4460503047320311,IpnXyuIlx,棒畜粉又双叒叕他妈开始撇清关系按需爱国了，我说这事又不是头一桩你棒畜粉一早就有军队应援的传统你国畜粉日常应援你们又不是不知道，现在一个个又出来装清纯帮举报绣红旗婊忠心的演给谁看呢 ,,,,2020-01-14,,4,0,0,,
4460492292285334,IpnGd9Awe,我要没记错，这个恶臭营销号的傻逼粉丝不是号称它是南京红二么？搞半天是个陕西大龄无业游民我说你们微博初中文凭底层蛆一天到晚都在追些什么垃圾玩意，还好意思瞧不起人家追星的 ,https://wx1.sinaimg.cn/large/6fd81591ly1gavlkks0faj20n0066q4w.jpg,,,2020-01-14,,6,2,1,,
4460272587016834,IphXQtroK,棒畜的公司在国内有脂粉倒不是什么稀奇事，不过坐实脂粉直属官方还能联系上军队就很吓人了，嘿嘿 ,,,,2020-01-13,,1,2,3,,
4459907556130186,Ip8t5pIJY,都他妈0202了，微博初中文凭网友还在吹巴畜的健保卡叻，这么复古的逼都吹得出口真担得起巴畜的一句426 ,,,,2020-01-12,,2,3,0,,
4459806360558938,Ip5PS2lp8,所以今年春晚灿巴艺人可以彻底消失么？ ,,,,2020-01-12,,1,3,0,,
4459517574085889,IoYk5h8Vr,emmmm，说实话，中文水平还不如刘玉玲的丑逼硬憋着宣扬东方文化也是要笑死人了，所以可以憋买痘印营销了么？真的很尬诶 ,,,,2020-01-11,,1,0,0,,
4458746316960024,IoEg7tcCs,昨天说到国际就突然想起这封名利场，现在的明星都喜欢吹封面，但印象中国际吹过的东西很多唯独封面很少见吹的，这大概就是作品傍身这种身外之物有没有都无所谓吧，这封各种意义上的经典和地位象征，但是对于国际本人而言确实也不那么重要，人和人的区别真的大 ,https://wx4.sinaimg.cn/large/6fd81591ly1gaq0xlpkouj20m50aptqh.jpg,,,2020-01-09,,6,1,5,,
