id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4380025027037437,HxzOCtwL3,今天是我的生日06月06日，来祝福我吧~,,,,2019-06-06,生日动态,0,0,0,,
4247742496722443,Gk201scOv,祝你生日快乐,,,,2018-06-06,生日动态,0,0,0,,
4115467809626701,F6uo4Eoln,祝你生日快乐,,,,2017-06-06,生日动态,0,0,0,,
3523602978213087,z9U1jysB9,不要让污秽的语言和丑恶的行为进入孩子的世界。这是社会每一个成员的责任！ ,,,,2012-12-15,iPhone客户端,0,4,2,,
3523599598009162,z9TVRxBy2,在充滿权力和金錢的浮燥社会，我们应有一些静气，静气是靠正气来支撑，只有正气在身，才能胸怀大我，淡泊名利，才能做到宠辱不惊！ ,,,,2012-12-15,iPhone客户端,1,1,0,,
3522829741894893,z9zUa7WWN,一个人要想活的有色彩、有味道，还要有些个人爱好。一个人如果没有什么爱好，或者没有什么可以让激动的人和亊，其实是很可怕的。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1dzs8inojwnj.jpg,,,2012-12-13,iPhone客户端,0,0,0,,
3522825950133859,z9zO30yP1,星云大师讲，礼貌是必须品，信仰是补给品，能力是备用品，不守信用是违禁品，不耐烦是半成品，嗔心是毒品，好名是装饰品，做人要有人品。[[赞] ,,,,2012-12-13,iPhone客户端,1,0,0,,
3522824591305717,z9zLR5tFX,一个人，隨着年龄的增长而慢慢变老，但只要内心丰富、充实，就会永远充满活力。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1dzs7xd1nntj.jpg,,,2012-12-13,iPhone客户端,0,0,0,,
3522823722745924,z9zKsbwl6,女人要学会倾听，懂得倾听的女人才是有修养，有魅力的女人。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1dzs7trz3q4j.jpg,,,2012-12-13,iPhone客户端,0,0,0,,
3486590267499561,yAkBIvsYF,健康需要点滴积累，那么一个人的坚强就需要不断的历练。 ,https://ww3.sinaimg.cn/large/9a5ae347jw1dwkmgzyin8j.jpg,,,2012-09-04,iPhone客户端,0,2,0,,
3456440670365670,ynGhl1x7U,我很赞赏郦波先生的两句精典格言：第一句，别人的书都是注解，只有自己的书才是原文。第二句，读书不仅能提高我们的生活质量，还能提高我们的人生质量。由此可见，读书有多么的重要。 ,https://ww4.sinaimg.cn/large/9a5ae347jw1dtwfu7k1v3j.jpg,,,2012-06-13,iPhone客户端,1,0,10,,
3447542865663851,yjWO2nLqr,生活要知足常乐。 ,https://ww4.sinaimg.cn/large/9a5ae347jw1dt41xveo4aj.jpg,,,2012-05-19,iPhone客户端,0,0,0,,
3446836658171750,yjEqZyhQq,经典伴侣的十个经典特征： 1、恋爱时，彼此是崇拜者；2、交流时，彼此是倾诉者；3、得意时，彼此是分享者；4、失意时，彼此是支撑者；5、生气时，彼此是出气者；6、痛苦时，彼此是安慰者；7、患难时，彼此是依偎者；8、辉煌时，彼此是分享者；9、成长时，彼此是牵手者；10、暮年时，彼此是相伴者。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1dt1styy8ukj.jpg,,,2012-05-18,微博 weibo.com,0,1,8,,
3446776188993495,yjCRsBJCn,在生命中，不管遇到恩人或是小人都不是一件坏事。恩人可以帮助自己成长，小人可以使自己成熟。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1dt1lvz9lpmj.jpg,,,2012-05-17,iPhone客户端,0,1,1,,
3445124400603199,yiVTi2wV1,不炫耀，不争吵，做一个博学的女人；不空洞，不浮躁；做一个丰盈的女人；即便生命枯竭，亦在优雅中变老。 世上的女人只有两种，一种是幸福的，一种是坚强的；幸福的被捧在手心无需坚强，而坚强的则自己创造幸福。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1dswc6gwglqj.jpg,,,2012-05-13,微博 weibo.com,0,5,25,,
3443863601960039,yip5K8dTx,培养人的方法很多，但因人而异的培养方法是最为合适的方法. ,https://ww2.sinaimg.cn/large/9a5ae347jw1dssbdsej9pj.jpg,,,2012-05-09,iPhone客户端,0,1,3,,
3443862959921614,yip4HFD42,人贵在自知之明，只有正确认识自己，才能不断修正自己，完善自己。 ,https://ww4.sinaimg.cn/large/9a5ae347jw1dssbb4px2sj.jpg,,,2012-05-09,iPhone客户端,0,0,1,,
3443743862889950,yilYCc7O6,说假话的人会得到这样的下场：他说真话，也没人相信。／伊索寓言 ,https://ww3.sinaimg.cn/large/9a5ae347jw1dsrxmp1brfj.jpg,,,2012-05-09,iPhone客户端,0,0,1,,
3443135277462615,yi691vjmL,人不要总自责，生活中出现失误，认真总结教训就是啦。其实必要的自责是有益的，但遇事总是自责，不仅是懦弱的表现，也是不自信的表现。毎个人都要切记：我是世界上最棒的。 ,https://ww4.sinaimg.cn/large/9a5ae347jw1dspzqhojntj.jpg,,,2012-05-07,iPhone客户端,0,2,4,,
3443133834804797,yi66Hk9WJ,人要学会释放情绪。在生活中，我们肯定有很多不如意的地方，甚至会有发怒的事。遇到这种情况把握好情绪固然很重要，但一定还要选择适当的时机和方法，把心中的不快发泄出去，否则会影响身心和身体健康。 ,https://ww3.sinaimg.cn/large/9a5ae347jw1dspzkitrkmj.jpg,,,2012-05-07,iPhone客户端,0,1,2,,
3442079101643370,yhEFw6TvY,青春值得珍惜，是因为青春是为一生奠定基础的时期。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1dsmmfot196j.jpg,,,2012-05-04,iPhone客户端,0,0,0,,
3442059686101766,yhEacpBlA,写在五四靑年节／靑年意味着希望。一位哲人讲，青年人的大部分生活充满希望；希望代表未来，而回忆代表过去。所以我们要珍惜靑春，把握未来。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1dsmk7esz7bj.jpg,,,2012-05-04,iPhone客户端,0,0,0,,
3441311878802839,yhkI3AW1h,幸福不是人生的商标，而是生活的品质。幸福不依赖慑人的权势，不依赖过人的财富，不依赖超人的才华，依赖的只是一颗平常心。常怀一颗笑对人生冷暖的平常心，就会有圆融丰满的喜悦常相伴随。幸福如同穿鞋，舒不舒服只有脚知道；幸福如同喝水，是冷是热只有喉咙知道。幸福不在隔壁，而在自家院子里。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1dsk6bilontj.jpg,,,2012-05-02,微博 weibo.com,0,0,2,,
3440972673805479,yhbSXfXYH,真正的财富，是靠劳动积累起来的。从这个意义上讲，劳动创造财富，劳动征服一切。 ,https://ww3.sinaimg.cn/large/9a5ae347jw1dsj3d3fesqj.jpg,,,2012-05-01,iPhone客户端,0,0,0,,
3440969796298222,yhbOjqqse,人不能贪婪，因为贪婪，是一切罪恶的根源。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1dsj317jkzpj.jpg,,,2012-05-01,iPhone客户端,0,1,3,,
3440966927483471,yhbJGvoN9,写在五一劳动节。／劳动创造生活，劳动充满快乐。只有劳动，你才能得到人们的尊重，不劳动者无法从中获得裨益。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1dsj2pcmspxj.jpg,,,2012-05-01,iPhone客户端,0,0,0,,
3438803601303312,yghss5t3a,『送给每个女孩』做个睿智女人，率真充满阳光，有口无心但不口无遮拦。做个精致女人，简约自然大方，不浓妆艳抹也不素面朝天，懂得打扮自己，简约而不简单。做个品味女人，有奢华的风骨，却不拜金主义。想拥有别人的爱，先拥有自己的爱，尊重他人善待自己。人在旅途，一定要活的很优雅。 ,https://ww4.sinaimg.cn/large/9a5ae347jw1dsc68xzjcrj.jpg,,,2012-04-25,微博 weibo.com,0,1,11,,
3438097225868591,yfZ58oCGH,【女人需要的四种气质】1、要学会充满自信（女人学会自我拯救和自我完善永远是最重要的）；2、要学会高贵（不媚俗、不盲从、不虚华）；3、要善意通达（女人更应该学会调适自己，不要一味地为情所困）；4、做事有主见（不要让感情胜过理智）。只要做到了其中一点，你也不失为一个可爱的女人。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1ds9x4dhjkaj.jpg,,,2012-04-23,微博 weibo.com,0,0,0,,
3437005415815965,yfwG9ooZT,哲人的话／你若想过上快乐的生活，拥有成功的人生，就必须收起那张不讨人喜欢的高傲面孔，用你的笑脸去面对周围所有的人。 ,https://ww3.sinaimg.cn/large/9a5ae347jw1ds6fqazld9j.jpg,,,2012-04-20,iPhone客户端,0,2,4,,
3436664523449052,yfnOketfS,在生活中，每个人都要承担起社会责任，家庭责任、、、，没有责任感的人，注定会一亊无成。 ,https://ww2.sinaimg.cn/large/9a5ae347jw1ds5ckv6o8wj.jpg,,,2012-04-19,iPhone客户端,0,0,0,,
3436249627428100,yfd18vao4,生活是美好的，这是非常宝贵的，但更宝贵的是实现美好的过程。 ,https://ww3.sinaimg.cn/large/9a5ae347jw1ds40xgoa7sj.jpg,,,2012-04-18,iPhone客户端,0,2,4,,
3436249065176397,yfd0elICh,诚信是社会中流淌的血液，失去了诚信社会就失去了生命. ,https://ww3.sinaimg.cn/large/9a5ae347jw1ds40v5afb0j.jpg,,,2012-04-18,iPhone客户端,0,5,10,,
3435886052585182,yf3yJaQwu,能对你开怀直言的人，便是你的挚友。（英国：约翰逊） ,https://ww2.sinaimg.cn/large/9a5ae347jw1ds2v68j2aij.jpg,,,2012-04-17,iPhone客户端,0,6,10,,
3435884097630556,yf3vzw13u,朋友间切勿互相吹捧，否则友谊毫无价值；朋友间也切莫互相妒 嫉，否则友谊顷刻瓦解！ ,https://ww3.sinaimg.cn/large/9a5ae347jw1ds2uy69q0wj.jpg,,,2012-04-17,iPhone客户端,0,3,15,,
3435877726662099,yf3lirX7d,我们的全部学问就是了解自己。（英国：蒲柏） ,https://ww1.sinaimg.cn/large/9a5ae347jw1ds2u7u6k5kj.jpg,,,2012-04-17,iPhone客户端,0,2,3,,
3435567922198899,yeVhC9e27,幸福就像一只蝴蝶，当你追逐它时，它是难以到手的。但是，当你安静地坐下时，它却可能降落到你身上。——纳撒尼尔 • 霍索恩 ,https://ww1.sinaimg.cn/large/9a5ae347jw1ds1umipp1uj.jpg,,,2012-04-16,微博 weibo.com,0,3,16,,
3434850633837906,yeCCHg6pI,一个女人可用化状品来使她出风头，但要获得別人的喜爱，还是要依赖于她的人品。（法国：卢梭） ,https://ww4.sinaimg.cn/large/9a5ae347jw1drzk9a1vajj.jpg,,,2012-04-14,iPhone客户端,0,2,10,,
3434716688452594,yez8EzsUa,你若渴了，水便是天堂；你若累了，床便是天堂；你若失败了，成功便是天堂；你若是痛苦，快乐便是天堂。你若孤独，爱情便是天堂。你若被困，远方便是天堂。没有其中一样，断然不会有另一样的。天堂是地狱的终极，地狱是天堂的走廊。失败者走过了九十九，成功者只走过了一。 ,https://ww1.sinaimg.cn/large/9a5ae347jw1drz4vb5tghj.jpg,,,2012-04-14,微博 weibo.com,0,2,5,,
3434329193715392,yep3FfAxG,物质文明和精神文明不断提升的今天，社会为老年人提供了更广阔的空间，老有所养，老有所乐，老有所为，已成为生活的现实。 ,https://ww3.sinaimg.cn/large/9a5ae347jw1drxwdcmdjsj.jpg,,,2012-04-13,iPhone客户端,0,1,0,,
3434108233706613,yejjhfyg5,外表的美，只能取悦于人的眼睛，而内在的美却能感染人的灵魂。 ,https://ww4.sinaimg.cn/large/9a5ae347jw1drx6zsvrmtj.jpg,,,2012-04-12,iPhone客户端,0,1,4,,
