id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4383999361090316,HzfcQ4zDK,今天是我的生日06月17日，来祝福我吧~,,,,2019-06-17,生日动态,1,0,0,,
4286368442673089,GAePWbdol,微博一条 ,,,,2018-09-20,微博 weibo.com,0,0,0,,
4251720315718223,GlHtRnZzp,祝你生日快乐,,,,2018-06-17,生日动态,1,0,0,,
4201329934813043,G0yB3kc5J,风轻夜静，微雨吹窗。人生一时，宇宙万世。 ,,,,2018-01-29,微博 weibo.com,1,4,0,,
4145717666329749,FjbkaqyEJ,一天天。。。一年年。。。 ,,,,2017-08-28,微博 weibo.com,0,0,0,,
4119463743748749,F8al8fJdH,祝你生日快乐,,,,2017-06-17,生日动态,1,0,0,,
4045798117449066,EjdpVvfQe,这一年又快过去了，莫名其妙的感觉。。浑浑噩噩。。我们最终会怎样？反思审视，抑或继续奋起追击，直到经济自由，物质丰富？10年后，他和他、她和她、他和她，他们在哪里，他们做着什么事？哦，时间，你会给我答案。 ,,,,2016-11-25,微博 weibo.com,4,0,0,,
3994248125281500,DDxP6m9Xu,网页链接,,,,2016-07-06,微博 weibo.com,0,0,0,,
3984779823289742,DzzvEdNOm,网页链接,,,,2016-06-10,微博 weibo.com,1,0,0,,
3964293517636066,DqYzdw2um,网页链接,,,,2016-04-14,微博 weibo.com,0,0,0,,
3964293043022578,DqYyscGjg,网页链接,,,,2016-04-14,微博 weibo.com,1,0,0,,
3957989591647084,DokzB6UtS,一种熟视无睹的欲言又止横亘着，无法搬动。 ,,,,2016-03-28,微博 weibo.com,0,0,0,,
3949634806355921,DkPe8qFsR,惊蛰 ,,,,2016-03-05,微博 weibo.com,0,1,0,,
3929538813589105,Dcorff3GN,如果额头终将刻上皱纹，你只能做到，不让皱纹刻在你的心上。——中国合伙人 ,,,,2016-01-10,微博 weibo.com,2,2,0,,
3926252685401599,Db0X2mFcz,混得好才叫跨年，没混好纯属被年跨。。。 ,https://ww4.sinaimg.cn/large/7d8fe8a2gw1ezj900h4jyj20k00k0404.jpg,,,2015-12-31,微博 weibo.com,1,1,0,,
3924840672846038,DaqdBbWnQ,写的艰难：与诗同在的敏感状态变得越来越奢侈，因为需要孤独，需要一点失意，一点清净，甚至失恋。而你虽然时常独处但却不再像从前那样虚弱、无助，所以诗就远离了。一个世俗生活踌躇满志、全神贯注、胜算在握的人是无法写好诗的。这是两条路子。。 ,,,,2015-12-28,微博 weibo.com,3,0,0,,
3921409195279611,D8YWXm9t1,语言处于遮蔽状态，一种无物可说的虚弱感。 ,,,,2015-12-18,微博 weibo.com,2,4,0,,
3917406281648585,D7iOE6US5, ,,,,2015-12-07,微博 weibo.com,0,0,0,,
3911930273938617,D50mngwC5,今天节气小雪，气温却是夏天。。。说不上好或坏，心情像屋顶上的琉璃瓦，没有目的却暖意融融。。。 ,,,,2015-11-22,微博 weibo.com,1,2,0,,
3908530643900406,D3zV6gmFM,诗的远离，世俗生活的混沌。。。 ,,,,2015-11-13,微博 weibo.com,1,0,1,,
3903757261452700,D1zK665UE,居不可离竹，放下年轻人的紧张浮躁，让身心与自然相融，安心生活。 网页链接  ,https://ww4.sinaimg.cn/large/7d8fe8a2jw1exjhfu7wqnj20j60j6dhb.jpg,,,2015-10-30,分享按钮,2,0,0,,
3903366813628697,D1pAlfdZn,偶尔会怀念一个老朋友，听他听过的歌，希望他在海峡的那头一切安好。。。 ,https://ww3.sinaimg.cn/large/7d8fe8a2gw1exi8lhi38oj20im0ay3zu.jpg,,,2015-10-29,微博 weibo.com,2,5,1,,
3895119125900143,CDUtWoKTB,深夜里的猫叫必定属于彷徨孤独的幼小灵魂，饥渴的墙壁和天花俯视着床上的熟睡者。。。 ,,,,2015-10-07,微博 weibo.com,1,0,1,,
3892477305638948,CCNKWnEWM,100年后的人类，在火星上发微博与地球人互通信息，那时，这个火星移民，就像此时的我，发了一条无聊的微博，什么也没有说。。。 ,,,,2015-09-29,微博 weibo.com,0,0,0,,
3890888860548388,CC8qW2iEY,离经验的真实越来越远，离生存的真实越来越近。 ,,,,2015-09-25,微博 weibo.com,1,0,0,,
3884607818442299,Czv2dzqe7,居不可离竹网页链接 ,,,,2015-09-08,微博 weibo.com,0,0,0,,
